모델,데이터,TN,FP,FN,TP,부도탐지율,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,원본,13526,1247,96,131,57.7%,0.9104666666666666,0.09506531204644413,0.5770925110132159,0.1632398753894081,0.8006648931808267
Logistic Regression,SMOTE,14252,521,145,82,36.1%,0.9556,0.13598673300165837,0.36123348017621143,0.19759036144578312,0.6938958171995523
Random Forest,원본,14428,345,155,72,31.7%,0.9666666666666667,0.17266187050359713,0.31718061674008813,0.2236024844720497,0.7882286741110928
Random Forest,SMOTE,14544,229,150,77,33.9%,0.9747333333333333,0.25163398692810457,0.3392070484581498,0.28893058161350843,0.7940029897380952
Gradient Boosting,원본,14657,116,191,36,15.9%,0.9795333333333334,0.23684210526315788,0.15859030837004406,0.18997361477572558,0.809415378871623
Gradient Boosting,SMOTE,14581,192,167,60,26.4%,0.9760666666666666,0.23809523809523808,0.2643171806167401,0.25052192066805845,0.740738178442575
