feature,importance
기업신용공여연체과목수(일보)(3개월내유지)(연체일수30일이상)(해제포함),0.0005457549888687969
자산총계,0.000496992372446301
EBITDA,0.0004934765844299921
현금흐름,0.00046990514906438953
전기자본총계,0.0003791157575778759
영업이익이자보상배율,0.0002959252268486674
기업신용공여연체기관수(일보)(3년내유지)(연체일수30일이상)(해제포함),0.00023951138010081977
기업신용공여30일이상연체기관수(일보)(해제포함),0.00021529786523481745
매출원가,0.00020220798093699394
기업신용공여30일이상연체기관수(일보)(연체)(해제포함),0.00013828502379710682
기업신용공여연체기관수(일보)(6개월내유지)(연체일수30일이상)(해제포함),7.115283431824128e-05
외감구분,6.963815144287275e-05
소유건축물실거래가합계,5.6590610466181205e-05
부채상환계수,3.3675202264116065e-05
법인세,5.401322663390835e-06
현금,1.300419707602305e-07
현금등가물,0.0
적립금비율,0.0
사채이자(당기),0.0
중단산업손익,0.0
기업신용공여30일이상연체과목수(일보)(미해제),0.0
