feature,importance
"공공정보(국세,지방세,관세체납)건수(CIS)(5년내발생)",5.388171202129562e-05
기업신용공여연체과목수(일보)(3개월내유지)(연체일수30일이상)(해제포함),4.392007970138856e-05
기업신용공여연체기관수(일보)(미해제),3.7314170889176937e-05
기업신용공여연체과목수(일보)(6개월내유지)(연체일수30일이상)(해제포함),3.626032576253809e-05
기업신용공여연체과목수(일보)(1년내유지)(연체일수30일이상)(해제포함),2.37704291572086e-05
기업신용공여30일이상연체과목수(일보)(이자연체)(미해제),1.7088878298198134e-05
계속사업이익,1.4433132149168438e-05
중단산업손익,9.129769556976117e-06
기업신용공여30일이상연체기관수(일보)(미해제),8.16416558067824e-06
현금등가물,0.0
현금,0.0
부채상환계수,0.0
이자보상배율,0.0
사채이자(당기),0.0
적립금비율,0.0
영업이익이자보상배율,0.0
사업장권리침해여부,0.0
기업신용공여30일이상연체기관수(일보)(이자연체)(미해제),0.0
"공공정보(국세,지방세,관세체납,고용산재체납)건수(CIS)(5년내발생)",0.0
