feature,importance
기업신용공여연체기관수(일보)(1년내유지)(연체일수30일이상)(해제포함),8.815711737184791e-05
기업신용공여연체과목수(일보)(6개월내유지)(연체일수30일이상)(해제포함),6.650511892546236e-05
부채상환계수,6.55786770599508e-05
기업신용공여연체과목수(일보)(1년내유지)(연체일수30일이상)(해제포함),5.9681313719391895e-05
영업이익이자보상배율,5.213404372218995e-05
기업신용공여연체기관수(일보)(6개월내유지)(연체일수30일이상)(해제포함),5.166066734263806e-05
중단산업손익,5.028891447167533e-05
기업신용공여30일이상연체기관수(일보)(미해제),3.016833063918495e-05
기업신용공여연체과목수(일보)(3개월내유지)(연체일수30일이상)(해제포함),2.2629963647335322e-05
기업신용공여30일이상연체과목수(일보)(미해제),1.8023483177037694e-05
기업신용공여30일이상연체기관수(일보)(이자연체)(미해제),1.4247937815790797e-05
기업신용공여연체기관수(일보)(3개월내유지)(연체일수30일이상)(해제포함),9.194032389074818e-06
기업신용공여30일이상연체과목수(일보)(이자연체)(미해제),4.20982428420691e-06
적립금비율,4.107755073327602e-06
사채이자(당기),0.0
