모델명,Accuracy,Precision (부도),Recall (부도),F1 Score,ROC AUC
Logistic Regression,0.8839333333333333,0.061921296296296294,0.4713656387665198,0.10946291560102302,0.7151485729263798
Random Forest,0.9313333333333333,0.09238578680203045,0.4008810572687225,0.15016501650165018,0.7745397231704105
Gradient Boosting,0.9779333333333333,0.25,0.2290748898678414,0.23908045977011494,0.7794520960521203
