모델명,Accuracy,Precision (부도),Recall (부도),F1 Score,ROC AUC
Logistic Regression,0.9104666666666666,0.09506531204644413,0.5770925110132159,0.1632398753894081,0.8006648931808267
Random Forest,0.9666666666666667,0.17266187050359713,0.31718061674008813,0.2236024844720497,0.7882286741110928
Gradient Boosting,0.9795333333333334,0.23684210526315788,0.15859030837004406,0.18997361477572558,0.809415378871623
